Study_ID,Citation,Year,Journal,Source_used,Study_type,Primary_focus,Archaic_lineage,Populations_studied,Genome_build,Introgression_definition,Phenotype_domains,Specific_traits,Extractable_loci_reported,Loci_level,Tier,Stage2_Eligible,Notes
Chen2023_Neurodegeneration_Neanderthal,"Chen, Z. et al. (2023). The contribution of Neanderthal introgression and natural selection to neurodegenerative diseases. Neurobiology of Disease, 180, 106082",2023,Neurobiology of Disease,Full text,GWAS summary statistics analysis; stratified-LDSC heritability partitioning,Introgression–phenotype association,Neanderthal,European ancestry,hg19,Posterior probability of Neanderthal admixture (LA metric),Neurological / Neurodegenerative,Alzheimer’s disease; Parkinson’s disease; Amyotrophic lateral sclerosis (ALS),Partial,Genome-wide SNP annotations / regions,Tier 1,Yes,Genome-wide analysis only; no variant-level effects; European ancestry only; negative findings
Dannemann2022_Neuropsychiatric_Behaviour,"Dannemann, M. et al. (2022). Neandertal introgression partitions the genetic landscape of neuropsychiatric disorders and associated behavioral phenotypes. Translational Psychiatry, 12, 433",2022,Translational Psychiatry,Full text,GWAS summary statistics analysis; enrichment comparison of introgressed vs frequency-matched non-archaic variants,Introgression–phenotype association,Neanderthal,UK Biobank; NESDA; Biobank Japan; Estonian Biobank; FinnGen; deCode,Not reported,"Archaic marker SNPs (aSNPs) tagging Neanderthal introgressed haplotypes defined via absence in Africans, presence in Neanderthal genomes, and long haplotypes",Psychiatric; Cognitive/Behavioural; Circadian; Addiction; Pain,Smoking behaviour; alcohol consumption; chronotype/sleep; pain; mood-related traits,Yes,SNP; haplotype; region,Tier 1,Yes,Focuses on behavioural endophenotypes rather than disease diagnosis; enrichment driven by a subset of strong-effect loci; multi-cohort replication; variant-level results exist but not exhaustive
EstellerCucala2020_ADHD_Evolution,"Esteller-Cucala, P. et al. (2020). Genomic analysis of the natural history of attention-deficit/hyperactivity disorder using Neanderthal and ancient Homo sapiens samples. Scientific Reports, 10, 8622",2020,Scientific Reports,Full text,"GWAS meta-analysis integration; ancient DNA analysis; selection inference (ABC-DL, tSDS); introgression enrichment",Evolutionary framework,Neanderthal,"Ancient Homo sapiens (Pre-Neolithic, Near East, Neolithic Europe); modern Europeans; modern Africans; Neanderthal introgressed haplotypes",hg19,Neanderthal introgressed tag SNPs; comparison of effect sizes of introgressed vs non-introgressed alleles,Neurodevelopmental; Psychiatric,Attention-deficit/hyperactivity disorder (ADHD),Partial,SNP; haplotype (tag SNPs),Tier 3,Yes,Focuses on evolutionary dynamics rather than direct phenotype association; uses ancient DNA and modelling; ADHD GWAS limited to European ancestry; variant-level results aggregated
Faux2023_SCN9A_Pain,"Faux, P. et al. (2023). Neanderthal introgression in SCN9A impacts mechanical pain sensitivity. Communications Biology, 6, 958",2023,Communications Biology,Full text,Population genetics; introgression mapping; experimental pain phenotyping (QST); association analysis,Functional validation,Neanderthal,CANDELA cohort (Latin Americans); QST cohort (Colombians); 1000 Genomes reference populations,hg19,Neanderthal introgressed haplotypes inferred via admixtureHMM and local ancestry (Vindija Neanderthal reference),Pain,Mechanical pain sensitivity; pain sensitization after mustard oil (POST_MPT),Yes,SNP; haplotype; introgressed region,Tier 2,Yes,Strong LD between variants limits separation of individual effects; effects specific to mechanical pain modality; admixed Latin American populations enable detection
Gregory2021_Schizophrenia_NeanderScore,"Gregory, M.D. et al. (2021). Neanderthal-derived genetic variation in living humans relates to schizophrenia diagnosis, to psychotic symptom severity, and to dopamine synthesis. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 186(5), 329–338",2021,Am J Med Genet B Neuropsychiatr Genet,Full text,Case-control genetic association; quantitative symptom analysis; PET neuroimaging,Introgression–phenotype association,Neanderthal,"European-ancestry schizophrenia cases and controls (NIMH, GAIN, non-GAIN, Ashkenazi Jewish cohorts); healthy European controls for PET",Not reported,Genome-wide Neanderthal admixture quantified using NeanderScore (enhanced D-statistic),Psychiatric; Neurobiological,Schizophrenia diagnosis; positive psychotic symptoms; dopamine synthesis capacity,No,Not applicable (genome-wide score),Tier 1,Yes,Uses genome-wide admixture score rather than specific loci; modest effect sizes; mechanistic inference via dopamine PET; European ancestry only
Zeberg2020_SCN9A_Pain,"Zeberg, H. et al. (2020). A Neanderthal sodium channel increases pain sensitivity in present-day humans. Current Biology, 30, 3465–3469.e4",2020,Current Biology,Full text,Functional assay; electrophysiology; population genetics association,Functional validation,Neanderthal,Xenopus oocytes; HEK293T cells; 1000 Genomes populations; UK Biobank (British ancestry),hg19,"Archaic SNPs and haplotypes defined by absence in Africans, presence in Neanderthal genomes, LD structure, and tract length",Pain,Pain sensitivity; nociception,Yes,SNP; haplotype; coding variants,Tier 2,Yes,Strong functional evidence linking introgressed coding variants to nociceptive physiology; low allele frequency in Europeans; combines wet-lab and population data
McArthur2021_Heritability_Neanderthal,"McArthur, E., Rinker, D.C. & Capra, J.A. (2021). Quantifying the contribution of Neanderthal introgression to the heritability of complex traits. Nature Communications, 12, 4481",2021,Nature Communications,Full text,GWAS summary statistics analysis; partitioned heritability (S-LDSC); signed LD profile regression (SLDP),Introgression–phenotype association,Neanderthal,"European-ancestry GWAS (UK Biobank, FinnGen); 1000 Genomes EUR LD reference; Altai and Vindija Neanderthal genomes",hg19,Introgressed regions and variants inferred using Sprime and S*; subsets defined by Altai-matching and Vindija-matching Neanderthal alleles,Cognitive; Psychiatric; Circadian; Pain; Immune; Metabolic; Dermatological; Respiratory; Skeletal,Sunburn; skin & hair traits; autoimmune disease; chronotype; bone density; lung capacity; menopause age; schizophrenia; anorexia,Partial,Region; haplotype; SNP (genome-wide),Tier 1,Yes,"Genome-wide polygenic analysis; no single causal genes asserted; candidate regions discussed illustratively (e.g. GRB10, BNC2) without mechanistic validation; European-focused"
Reilly2022_Review_NeanderthalTraits,"Reilly, P.F. et al. (2022). The contribution of Neanderthal introgression to modern human traits. Current Biology, 32, R970–R983",2022,Current Biology,Full text,"Narrative review; synthesis of population genetics, GWAS/PheWAS, eQTL and functional studies",Evolutionary framework,Multiple,Global modern human populations; ancient hominin genomes (reviewed literature),Not applicable,"Review of published introgression maps, haplotypes, and archaic ancestry inference methods",Cognitive; Psychiatric; Circadian; Addiction; Pain; Immune; Metabolic; Pigmentation,Mood disorders; smoking; chronotype; pain sensitivity; immune response; metabolic traits; brain morphology (globularity),Partial,Region; haplotype; SNP (reported from cited studies),Tier 3,Yes,Review article; no new data; integrates multiple primary studies across phenotypes and methods
Gunz2019_EndocranialGlobularity,"Gunz, P. et al. (2019). Neandertal introgression sheds light on modern human endocranial globularity. Current Biology, 29, 120–127.e5",2019,Current Biology,Full text,GWAS; neuroimaging genetics; morphometric analysis,Introgression–phenotype association,Neanderthal,Modern humans with MRI brain imaging; comparative Neanderthal fossil endocasts,hg19,Neanderthal introgressed haplotypes identified from published introgression maps and association with modern human genomic variants,Neurodevelopmental; Cognitive,Endocranial globularity; brain shape variation,Yes,SNP; region,Tier 1,Yes,Combines fossil morphology with modern neuroimaging; focuses on brain shape rather than clinical phenotype; variant effects inferred via association not functional manipulation
Pauly2024_Autism_Neanderthal,"Pauly, R., Johnson, L., Feltus, F.A. & Casanova, E.L. (2024). Enrichment of a subset of Neanderthal polymorphisms in autistic probands and siblings. Molecular Psychiatry, 29, 3452–3461",2024,Molecular Psychiatry,Full text,Case–control enrichment analysis; whole-exome sequencing; SNP frequency and QTL analysis,Introgression–phenotype association,Neanderthal,"SPARK autistic probands and unaffected siblings (US); ethnically matched GTEx and 1000 Genomes controls (black non-Hispanic, white Hispanic, white non-Hispanic)",Not reported,Predefined Neanderthal-derived SNP set (Sankararaman et al.); enrichment of rare (<1%) and common (≥1%) variants relative to matched controls,Neurodevelopmental; Psychiatric,Autism spectrum disorder; comorbid intellectual disability; epilepsy; language regression,Yes,SNP,Tier 1,Yes,"Focuses on SNP-level enrichment rather than genome-wide ancestry; WES-based; population-specific results; gene-level discussion is associative, not mechanistic"
Rinker2020_ReintroducedAlleles,"Rinker, D.C., Simonti, C.N., McArthur, E., Shaw, D., Hodges, E. & Capra, J.A. (2020). Neanderthal introgression reintroduced functional ancestral alleles lost in Eurasian populations. Nature Ecology & Evolution, 4, 1332–1341",2020,Nature Ecology & Evolution,Full text,Population genetics; evolutionary modelling; eQTL analysis; MPRA; luciferase functional assays,Regulatory mechanism / Evolutionary framework,Neanderthal,"1000 Genomes Eurasian populations (EUR, EAS, SAS); sub-Saharan African populations (YRI); GTEx tissues; cell lines (LCLs, K562, HepG2)",hg19,"Distinguishes Neanderthal-derived alleles (NDAs) from reintroduced ancestral alleles (RAs) based on LD with Neanderthal tag SNPs, ancestral state, and African allele presence",Cognitive; Psychiatric; Circadian; Immune; Metabolic; Neurodevelopmental (indirect via regulatory effects),Broad trait associations via GWAS Catalog; gene expression regulation (eQTL); no single disorder focus,Partial,SNP; haplotype; regulatory region,Tier 2,Yes,Focuses on regulatory and evolutionary mechanisms rather than direct phenotype association; trait links largely indirect via GWAS and eQTL; strong functional validation at exemplar loci (e.g. HDHD5)
Simonti2016_PheWAS_Neanderthal,"Simonti, C.N. et al. (2016). The phenotypic legacy of admixture between modern humans and Neanderthals. Science, 351(6274), 737–741",2016,Science,Full text,PheWAS; GWAS-based association; variance partitioning (GCTA),Introgression–phenotype association,Neanderthal,"European-ancestry adults from the eMERGE Network (USA; ~28,000 individuals)",hg19,Neanderthal haplotypes inferred via S* and comparison with Altai Neanderthal genome; high-confidence Neanderthal SNP set,Psychiatric; Neurological; Immune; Dermatological; Metabolic; Addiction,Depression; mood disorders; actinic keratosis; hypercoagulable state; tobacco use disorder; obesity,Yes,SNP; haplotype,Tier 1,Yes,Large-scale association study; phenotype inference from EHR data; no causal claims; gene mentions are locus-anchoring not mechanistic
Skov2020_IcelandicFragments,"Skov, L. et al. (2020). The nature of Neanderthal introgression revealed by 27,566 Icelandic genomes. Nature, 582, 78–83",2020,Nature,Full text,Whole-genome sequencing; archaic fragment detection; population genetics; GWAS-style association testing,Introgression–phenotype association / Evolutionary framework,Multiple,"Icelandic population (27,566 individuals); African outgroup from 1000 Genomes",hg19,Archaic fragments inferred using HMM without conditioning on archaic reference genomes; classification via similarity to Altai/Vindija Neanderthal and Denisovan genomes,Broad / None specific,Height; blood traits; prostate-specific antigen; haemoglobin measures (limited set),Partial,Fragment; SNP,Tier 3,Yes,Primarily descriptive and evolutionary; phenotype analysis is conservative and largely negative; focuses on fragment discovery and validation rather than trait mechanisms
Srinivasan2016_Schizophrenia_NSS,"Srinivasan, S. et al. (2016). Genetic markers of human evolution are enriched in schizophrenia. Biological Psychiatry, 80(4), 284–292",2016,Biological Psychiatry,Full text,GWAS summary-statistics analysis; polygenic enrichment; conditional FDR; evolutionary annotation analysis,Evolutionary framework / Introgression-related enrichment,Neanderthal,European-ancestry GWAS cohorts (Psychiatric Genomics Consortium and other large consortia),hg19,Neanderthal Selective Sweep (NSS) score used as proxy for divergence between modern humans and Neanderthals; not direct introgressed tracts,Psychiatric; Cognitive,Schizophrenia (primary); height (secondary); BMI and other traits tested,Partial,Region; gene (candidate loci only),Tier 3,Yes,"Does not analyse introgressed haplotypes directly; NSS is an evolutionary proxy, not explicit introgression; gene mentions are candidate and not mechanistic"
Srinivasan2018_Cognition_PNSS,"Srinivasan, S. et al. (2018). Enrichment of genetic markers of recent human evolution in educational and cognitive traits. Scientific Reports, 8, 12585",2018,Scientific Reports,Full text,GWAS summary-statistics analysis; polygenic enrichment; stratified LD-score regression using evolutionary annotations,Evolutionary framework / Introgression-related enrichment,Neanderthal,"Large European-ancestry GWAS cohorts (UK Biobank, SSGAC, CHARGE, GIANT)",hg19,Post-Neanderthal Selective Sweep (PNSS) regions used as proxy for human-specific positive selection after divergence from Neanderthals,Cognitive,Educational attainment (years of education); college completion; general cognitive ability (fluid intelligence),No,Not applicable (polygenic / regional),Tier 3,Yes,Uses evolutionary sweep proxies rather than explicit introgressed tracts; no variant- or gene-level causal claims; enrichment is polygenic and indirect
Kendall2025_Circadian_Introgression,"Kendall, C. et al. (2025). Adaptive introgression in modern human circadian rhythm genes. npj Biological Timing and Sleep, 2, 41",2025,npj Biological Timing and Sleep,Full text,Population genomics; introgression mapping (SPrime); selection scans; GWAS overlap; eQTL enrichment,Introgression–phenotype association / Evolutionary framework,Multiple,"76 worldwide non-African populations (HGDP + 1000 Genomes); archaic reference genomes (Altai, Vindija, Chagyrskaya Neanderthals; Denisova)",Mixed,Archaic introgressed segments inferred using SPrime and matched to archaic genomes; adaptive introgression tested via multiple selection statistics,Circadian; Sleep; Psychiatric (secondary); Immune (secondary),Chronotype (morningness/eveningness); sleep duration; daytime napping; schizophrenia and bipolar disorder (protective associations); respiratory and inflammatory traits,Yes,Segment; haplotype; SNP,Tier 3,Yes,Broad multi-population study; strong evidence for adaptive introgression but gene- and variant-level effects largely indirect; extensive pleiotropy; functional validation not performed
Barker2025_Regulatory_TFBS,"Barker, H.R. et al. (2025). Evolution is in the details: Regulatory differences in modern human and Neanderthal. Computational and Structural Biotechnology Journal, 27, 2298–2312",2025,Computational and Structural Biotechnology Journal,Full text,Regulatory comparison; TF binding site prediction; comparative genomics; transcriptomic integration,Regulatory mechanism,Neanderthal,Modern human reference genome; Neanderthal genomes (Altai/Vindija lineage via Neanderthal Genome Project SNPs); human brain and immune transcriptomic datasets,Not reported,Modern human vs Neanderthal promoter SNPs affecting transcription-factor binding affinity; regulatory divergence without introgression tract inference,Neurodevelopmental; Psychiatric; Cognitive,Autism spectrum disorder; schizophrenia; language/speech-related traits; brain development,Yes,Gene; regulatory region (promoter TFBS),Tier 2,Yes,Focuses on regulatory divergence rather than introgressed haplotypes; does not test population-level introgression frequencies; strong mechanistic/regulatory evidence using in-silico TFBS and transcriptomic integration
Trujillo2021_NOVA1_Organoids,"Trujillo, C.A. et al. (2021). Reintroduction of the archaic variant of NOVA1 in cortical organoids alters neurodevelopment. Science, 371(6530), eaax2537",2021,Science,Full text,Functional validation; CRISPR genome editing; cortical organoids; single-cell RNA-seq; electrophysiology (MEA),Functional validation,Multiple,"Human iPSC-derived cortical organoids; modern human genetic background; comparative archaic genomes (Altai, Vindija Neanderthals; Denisovan)",hg19,Human-specific fixed derived coding variant identified by absence in archaic genomes; archaic allele reintroduced experimentally (not population-level introgression),Neurodevelopmental; Cognitive; Psychiatric,Neurodevelopment; synaptic connectivity; neuronal network activity; autism- and schizophrenia-related pathways,Yes,SNP; gene (single coding variant),Tier 2,Yes,Experimental organoid model; focuses on a single gene and coding change; not a population introgression study; strong mechanistic evidence but limited evolutionary scope
Caporale2024_HAR202_NPAS3,"Caporale, A.L. et al. (2024). The Human Accelerated Region HAR202 controls NPAS3 expression in the developing forebrain displaying differential enhancer activity between modern and archaic human sequences. Molecular Biology and Evolution, 41(10), msae186",2024,Molecular Biology and Evolution,Full text,Regulatory enhancer assays; comparative genomics; transgenic zebrafish and mouse reporter assays; CRISPR/Cas9 knockout,Regulatory mechanism,Multiple,Transgenic zebrafish; transgenic mice; mouse embryos; human population datasets; archaic genomes,hg19,Human accelerated region (HAR202) regulatory divergence; introgression inferred via Sprime,Neurodevelopmental; Cognitive; Psychiatric,Forebrain development; NPAS3 expression,Yes,Regulatory region; SNP,Tier 2,Yes,Strong regulatory and functional evidence; enhancer activity tested in vivo; focuses on regulatory divergence; introgression inferred for East Asian groups
Fajardo2023_Tar_PetriNets,"Fajardo, S., Kozowyk, P.R.B. & Langejans, G.H.J. (2023). Measuring ancient technological complexity and its cognitive implications using Petri nets. Scientific Reports, 13, 14961",2023,Scientific Reports,Full text,Archaeological modelling; computational process modelling (Petri nets); experimental archaeology synthesis,Archaeological context / Evolutionary framework,Neanderthal,Experimental reconstructions of Neanderthal birch tar production methods; no genetic samples,Not applicable,Not applicable (no genetics; technology–cognition inference only),Cognitive; Technical cognition,Planning; working memory; inhibitory control; learning; technological complexity,No,Not applicable,Tier 4,Yes,"Archaeological/computational study only; no genetic, introgression, or variant-level data; cognition inferred from technology structure rather than biology"
Gittelman2016_AdaptiveIntrogression,"Gittelman, R.M. et al. (2016). Archaic hominin admixture facilitated adaptation to out-of-Africa environments. Current Biology, 26, 3375–3382",2016,Current Biology,Full text,Population genomics; introgression mapping; coalescent simulations; eQTL integration; GWAS overlap,Introgression–phenotype association / Evolutionary framework,Multiple,"1,523 non-African individuals: East Asian, European, South Asian, Melanesian (1000 Genomes + Melanesia cohorts)",hg19,High-frequency archaic haplotypes identified via LD-clustered archaic tag SNPs; adaptive introgression inferred using frequency outliers and simulations,Immune; Pigmentation; Metabolic (secondary); Disease susceptibility,"Immune response (TLR1/6/10, OAS1/2/3); skin and eye pigmentation (OCA2); inflammatory and autoimmune traits",Yes,Haplotype; region; SNP,Tier 1,Yes,Genome-wide adaptive introgression study; phenotype links largely indirect via GWAS/eQTL; limited brain-specific focus; strong population-genetic evidence
Kaczanowska2022_MolecularArchaeology_Cognition,"Kaczanowska, J. et al. (2022). Molecular archaeology of human cognitive traits. Cell Reports, 40, 111287",2022,Cell Reports,Full text,Comparative evolutionary genomics; dN/dS (ω) phylogenetic analysis; computational neuroanatomy; brain network mapping,Evolutionary framework,Multiple,"Mammalian species set including mouse, primates, Denisovan, Neanderthal, and anatomically modern humans; Allen Human Brain Atlas (expression)",Mixed,Regulatory and coding sequence divergence inferred via branch-specific dN/dS; no introgressed tracts analysed,Cognitive; Neurodevelopmental; Psychiatric (indirect),Language; working memory; strategic thinking; attention; motor control; social cognition,Partial,Gene sets; evolutionary branches (no discrete loci),Tier 3,Yes,No population-level introgression analysis; no trait associations tested in modern cohorts; genes discussed as multigenic clusters rather than causal loci
Kang2023_FunctionalArchaic_eQTLs,"Kang, J. et al. (2023). Functional archaic DNA regulates molecular variation and is associated with disease risk across global populations. bioRxiv, doi:10.1101/2023.04.26.538367",2023,bioRxiv (preprint),Full text,Population genomics; eQTL enrichment analysis; regulatory genomics; phenotype enrichment analysis,Regulatory mechanism / Introgression–phenotype association,Multiple,1000 Genomes Europeans and East Asians; GTEx European tissues; Japanese immune-cell eQTL dataset,hg19,"Archaic SNPs defined by overlap with Neanderthal or Denisovan genomes, absence in African populations, and segregation in EUR/EAS; functional impact assessed via overlap with eQTLs",None (molecular / regulatory focus),Gene expression regulation; disease-associated CNVs; developmental delay (shared enrichment),Partial,SNP; regulatory eQTL,Tier 2,Yes,Preprint (not peer-reviewed); focuses on regulatory and disease-risk enrichment rather than specific traits; gene-level effects are aggregate and non-causal
Alagoz2022_NeuroimagingEvolution,"Alagöz, G. et al. (2022). Using neuroimaging genomics to investigate the evolution of human brain structure. PNAS, 119(40), e2200638119",2022,Proceedings of the National Academy of Sciences,Full text,GWAS of neuroimaging traits; partitioned heritability (LDSC); evolutionary annotation analysis; neuroimaging genomics,Introgression–phenotype association / Evolutionary framework,Neanderthal,"UK Biobank participants of European ancestry (∼30,000); ancient Neanderthal genomes for annotations",hg19,Neanderthal introgressed SNPs and SNPs in perfect LD; archaic deserts; human-gained enhancers defined from comparative epigenomics,Cognitive; Neurodevelopmental; Psychiatric (indirect),"Cortical surface area (hemispheric, regional); white-matter connectivity (uncinate fasciculus); speech-related regions",Partial,SNP; region,Tier 3,Yes,Polygenic and heritability-based; no direct trait-association testing with introgressed variants; gene-level example (ZIC4) used illustratively rather than as causal introgression evidence
Kozowyk2023_TarScaling_Cognition,"Kozowyk, P.R.B. et al. (2023). Scaling Palaeolithic tar production processes exponentially increases behavioural complexity. Scientific Reports, 13, 14709",2023,Scientific Reports,Full text,Archaeological modelling; Petri net analysis; experimental archaeology,Archaeological context / Evolutionary framework,Neanderthal,Experimental reconstructions of Neanderthal birch-tar production; no genetic samples,Not applicable,Not applicable (no genetics; behavioural modelling only),Cognitive; Behavioural,Technological complexity; inhibitory control; attention; cooperation,No,Not applicable,Tier 4,Yes,Purely archaeological/behavioural modelling; no genetic or introgression data; cognition inferred from process complexity rather than biology
Kun2025_TraitTiming_Evolution,"Kun, E., Sohail, M. & Narasimhan, V.M. (2025). The trait-specific timing of accelerated genomic change in the human lineage. Cell Genomics, 5, 100740",2025,Cell Genomics,Full text,GWAS enrichment analysis; stratified LD score regression (S-LDSC); gene-overlap enrichment (HARE); comparative evolutionary genomics,Introgression–phenotype association / Evolutionary framework,Multiple,Large European-ancestry GWAS and UK Biobank imaging cohorts; multiple published GWAS datasets (≈70 traits),hg19,"Uses predefined evolutionary genomic annotations (human-gained enhancers/promoters, HARs, ancient selective sweeps, Neanderthal-introgressed alleles); no de novo introgression inference",Cognitive; Neurodevelopmental; Psychiatric; Skeletal; Respiratory; Dermatological; Reproductive,"Brain MRI traits (visual cortex, thalamus, white-matter tracts); autism; neuroticism; skeletal proportions; lung function; reproductive timing",Partial,"Gene sets; SNPs (aggregate, annotation-based)",Tier 3,Yes,Broad integrative framework; polygenic and annotation-based; no single causal loci asserted; gene mentions are aggregate and illustrative
Levi2021_DLX5_6_SocialVocalization,"Levi, G. et al. (2021). DLX5/6 GABAergic expression affects social vocalization: implications for human evolution. Molecular Biology and Evolution, 38(11), 4748–4764",2021,Molecular Biology and Evolution,Full text,Functional mouse genetics; behavioural phenotyping; population genetics; haplotype introgression analysis,Functional validation / Introgression–phenotype association,Neanderthal,"Mouse models (Dlx5/6VgatCre); modern human populations (1000 Genomes); European semi-supercentenarians; archaic genomes (Altai, Vindija Neanderthals; Denisovan)",hg38,"Introgressed Neanderthal haplotype inferred via LD structure, haplotype length, absence in Africans, similarity to Vindija Neanderthal genome",Cognitive; Social; Neurodevelopmental; Behavioural,Social vocalization; sociability; speech-related traits; aging/longevity (secondary),Yes,Haplotype; SNP; gene,Tier 2,Yes,"Strong functional animal evidence combined with population-genetic introgression analysis; human phenotype associations largely indirect; pleiotropic locus affecting brain, craniofacial and social traits"
Mangan2022_HAQER_NeuroEnhancers,"Mangan, R.J. et al. (2022). Adaptive sequence divergence forged new neurodevelopmental enhancers in humans. Cell, 185, 4587–4603",2022,Cell,Full text,Comparative genomics; evolutionary selection analysis; regulatory genomics; in vivo single-cell STARR-seq; enhancer reporter assays,Regulatory mechanism / Evolutionary framework,Multiple,Modern human populations (1000 Genomes Africans & non-Africans); Neanderthal and Denisovan genomes; developing mouse brain (functional assays),Mixed,Human Ancestor Quickly Evolved Regions (HAQERs) defined by rapid sequence divergence from the human–chimpanzee ancestor; not introgressed tracts but shared hominin regulatory sequence,Neurodevelopmental; Cognitive; Psychiatric (disease-linked enrichment),Neurodevelopmental enhancers; cortical development; schizophrenia; bipolar disorder; autism-related loci (enrichment),Yes,Regulatory regions (HAQERs); SNPs; enhancer elements,Tier 2,Yes,"Focuses on regulatory divergence rather than introgression; functional validation in mouse cortex; disease links are enrichment-based, not causal; not a population introgression study"
Moriano2020_Regulatory_CorticalDev,"Moriano, J. & Boeckx, C. (2020). Modern human changes in regulatory regions implicated in cortical development. BMC Genomics, 21, 304",2020,BMC Genomics,Full text,Integrative regulatory genomics; paleogenomics; chromatin state and Hi-C integration; single-cell RNA-seq network analysis,Regulatory mechanism / Evolutionary framework,Multiple,Developing human cortex (5–20 post-conception weeks); single-cell progenitors; Neanderthal and Denisovan genomes (comparative),hg19,Modern human single-nucleotide changes in enhancers/promoters where Neanderthal/Denisovan carry the ancestral allele (no introgressed tracts analysed),Neurodevelopmental; Cognitive; Psychiatric (enrichment),Cortical development; neurogenesis; schizophrenia-linked loci; language-related regulation,Yes,Gene; regulatory region (enhancer/promoter),Tier 2,Yes,"Focuses on modern-human derived regulatory changes rather than introgression; disease links are enrichment-based; mechanistic inference via regulatory and network context, not direct functional perturbation"
Hsieh2019_AdaptiveCNV_Introgression,"Hsieh, P.H. et al. (2019). Adaptive archaic introgression of copy number variants and the discovery of previously unknown human genes. Science, 366(6463), eaax2083",2019,Science,Full text,"Population genomics; CNV discovery; selection scans (PBS, Tajima’s D); introgression tests (fD, S*); long-read assembly; FISH; Iso-Seq",Introgression–phenotype association / Evolutionary framework,Multiple,"Melanesians (SGDP, HGDP; blood-derived samples); global comparison populations; archaic genomes (Altai Neanderthal, Vindija Neanderthal, Denisovan)",Mixed,"Archaic introgressed copy-number variants inferred via CNV stratification plus introgression statistics on flanking SNVs, haplotype age, and absence in Africans",None specific (functional inference); Immune; Metabolic; Developmental (indirect),"Local adaptation; metabolism; immune response; developmental risk loci (e.g. 16p11.2, 8p21.3)",Yes,CNV; duplication; deletion; multi-allelic CNV; gene,Tier 1,Yes,Focus on structural variation rather than SNPs; phenotypic effects inferred indirectly; strong evolutionary and population-genetic evidence; limited direct trait association; highlights CNVs as under-studied adaptive substrate
Rong2023_Splicing_MaPSy,"Rong, S. et al. (2023). Large-scale functional screen identifies genetic variants with splicing effects in modern and archaic humans. PNAS, 120(21), e2218308120",2023,Proceedings of the National Academy of Sciences,Full text,"Massively parallel splicing reporter assay (MaPSy); comparative genomics; enrichment analysis (SpliceAI, GTEx sQTL/eQTL); evolutionary inference",Functional validation / Regulatory mechanism,Multiple,"Modern humans (1KGP, gnomAD, GTEx); high-coverage archaic genomes (Altai, Vindija, Chagyrskaya Neanderthals; Denisovan)",hg19,Lineage-specific and introgressed SNVs defined via allele frequency contrasts between modern and archaic genomes; introgressed and adaptively introgressed sets from published maps (Vernot; Browning; Gittelman; Racimo),Cognitive; Psychiatric; Immune; Metabolic; Respiratory (trait links indirect),Innate immunity (TLR1); extracellular matrix (HSPG2); pain-related pathways (FAAH); hematological and pulmonary traits (fine-mapping overlaps),Yes,SNP (exonic splicing variants),Tier 2,Yes,Functional assay in HEK293T cells only; splicing effects may be tissue-specific (brain not directly assayed); focuses on splicing regulation rather than direct phenotype association; strong causal resolution at variant level
Viscardi2018_BalancingSelection_TransSNPs,"Viscardi, L.H. et al. (2018). Searching for ancient balanced polymorphisms shared between Neanderthals and Modern Humans. Genetics and Molecular Biology, 41(1), 67–81",2018,Genetics and Molecular Biology,Full text,"Exome-wide comparative genomics; trans-species SNP analysis; permutation testing; population-genetic statistics (Tajima’s D, Fst)",Evolutionary framework,Multiple,"Neanderthals (3 high-quality exomes); modern humans (Yoruba, 1000 Genomes)",hg19,Shared heterozygous exonic SNPs (trans-SNPs) between Neanderthals and Yoruba interpreted as candidates of long-term balancing selection; introgression explicitly controlled for by using African samples,Psychiatric (indirect); Immune; Behavioural,Schizophrenia-associated loci (immune genes); selected behavioural/neurodevelopmental genes (no global enrichment),Partial,"SNP (exonic, synonymous and nonsynonymous)",Tier 3,Yes,No phenotype association testing; balancing selection inferred statistically; behavioural relevance largely indirect and speculative; relies on exome data and African reference to avoid introgression effects
Yermakovich2023_LongRangeRegulation,"Yermakovich, D. et al. (2023). Long-range regulatory effects of Neandertal DNA in modern humans. Genetics, 223(3), iyac188",2023,Genetics,Full text,eQTL integration (GTEx + eQTLGen); transcription-factor network analysis; introgression annotation; selection inference,Regulatory mechanism / Introgression–phenotype association,Neanderthal,Modern non-African humans (GTEx; eQTLGen; Estonian Biobank; 1000 Genomes; SGDP Papuans); archaic reference genomes,hg19,"Neanderthal aSNPs defined by absence in Africans, presence in archaic genomes, LD-supported introgressed haplotypes",Cognitive; Psychiatric; Immune; Anthropometric,Gene-expression regulation; schizophrenia; immune traits; height and body measures; brain connectivity (indirect),Partial,SNP; regulatory eQTL; TF-level network,Tier 2,Yes,Regulatory and network-level inference; trans-effects largely predicted rather than experimentally validated; phenotype links are enrichment-based; strong reliance on expression datasets
